Chrom.1,
UV,
ml,mAU
19.74707,3.881929
19.773712,3.972368
19.800354,3.824594
19.826996,3.656622
19.853638,3.528052
19.88028,3.398681
19.906952,3.146191
19.933594,2.951246
19.960236,2.752943
19.986877,2.525349
20.013519,2.494813
20.040161,2.346482
20.066803,1.992941
20.093445,1.617664
20.120087,1.655897
20.146729,1.819291
20.17337,1.503031
20.200043,1.427034
20.226685,1.758892
20.253326,1.783097
20.279968,1.641028
20.30661,1.490312
20.333252,1.454789
20.359894,1.398465
20.386536,1.169562
20.413177,1.058591
20.439819,0.857046
20.466492,0.546099
20.493134,0.354783
20.519775,0.227946
20.546417,0.125604
20.573059,0.028329
20.599701,0.002263
20.626343,0.001318
20.652985,0.001851
20.679626,0.003448
20.706268,0.003783
20.73291,0.003623
20.759583,0.002593
20.786224,0.003837
20.812866,0.004905
20.839508,0.00343
20.86615,0.001886
20.892792,-0.000344
20.919434,-0.001447
20.946075,-0.001284
20.972717,-0.003369
20.999359,-0.004743
21.026031,-0.005989
21.052673,-0.005508
21.079315,-0.004629
21.105957,-0.005075
21.132599,-0.005169
21.159241,-0.005302
21.185883,-0.004399
21.212524,-0.004699
21.239166,-0.005394
21.265808,-0.00569
21.29245,-0.004328
21.319122,-0.002742
21.345764,-0.002213
21.372406,-0.001796
21.399048,-0.001701
21.42569,-0.001352
21.452332,-0.002936
21.478973,-0.005738
21.505615,-0.007849
21.532257,-0.008363
21.558899,-0.006895
21.585571,-0.006182
21.612213,-0.00498
21.638855,-0.002911
21.665497,-0.002758
21.692139,-0.001941
21.718781,-0.002609
21.745422,-0.004712
21.772064,-0.005404
21.798706,-0.005727
21.825348,-0.005145
21.85199,-0.005084
21.878662,-0.0039
21.905304,-0.001766
21.931946,-0.001378
21.958588,-0.001454
21.985229,-0.002332
22.011871,-0.003015
22.038513,-0.003821
22.065155,-0.004244
22.091797,-0.004351
22.118439,-0.003073
22.145111,-0.001143
22.171753,-0.001156
22.198395,-0.001608
22.225037,-0.002051
22.251678,-0.003869
22.27832,-0.005326
22.304962,-0.003922
22.331604,-0.00226
22.358246,-0.001624
22.384888,-0.001591
22.41153,-0.000059
22.438202,0.000369
22.464844,-0.001292
22.491486,-0.002227
22.518127,-0.003721
22.544769,-0.004668
22.571411,-0.002694
22.598053,-0.001786
22.624695,-0.00249
22.651337,-0.003385
22.677979,-0.00344
22.704651,-0.002108
22.731293,-0.002677
22.757935,-0.005549
22.784576,-0.006236
22.811218,-0.006556
22.83786,-0.006452
22.864502,-0.006069
22.891144,-0.005911
22.917786,-0.005224
22.944427,-0.003483
22.971069,-0.002668
22.997742,-0.003243
23.024384,-0.001898
23.051025,-0.000722
23.077667,-0.000416
23.104309,-0.000514
23.130951,-0.001051
23.157593,-0.001382
23.184235,-0.001472
23.210876,-0.00326
23.237518,-0.004203
23.264191,-0.004654
23.290833,-0.005564
23.317474,-0.007103
23.344116,-0.008399
23.370758,-0.006294
23.3974,-0.005311
23.424042,-0.005441
23.450684,-0.004964
23.477325,-0.002868
23.503967,-0.001984
23.530609,-0.003127
23.557281,-0.003703
23.583923,-0.00419
23.610565,-0.003867
23.637207,-0.004687
23.663849,-0.005557
23.690491,-0.005927
23.717133,-0.006781
23.743774,-0.006823
23.770416,-0.006912
23.797058,-0.00603
23.8237,-0.005401
23.850372,-0.004016
23.877014,-0.000059
23.903656,0.002256
23.930298,0.003687
23.95694,0.00372
23.983582,0.003635
24.010223,0.00245
24.036865,0.000237
24.063507,-0.000878
24.090149,-0.001813
24.116821,-0.000678
24.143463,-0.000979
24.170105,-0.000669
24.196747,-0.000703
24.223389,-0.00247
24.250031,-0.004131
24.276672,-0.004974
24.303314,-0.006776
24.329956,-0.009033
24.356598,-0.009734
24.38324,-0.007844
24.409912,-0.006564
24.436554,-0.005087
24.463196,-0.00335
24.489838,-0.002613
24.516479,-0.002014
24.543121,-0.002873
24.569763,-0.003413
24.596405,-0.003667
24.623047,-0.002848
24.649689,-0.00298
24.676361,-0.003399
24.703003,-0.003199
24.729645,-0.002046
24.756287,-0.001993
24.782928,-0.002161
24.80957,-0.00202
24.836212,-0.002926
24.862854,-0.004436
24.889496,-0.004537
24.916138,-0.004743
24.94278,-0.004897
24.969452,-0.005173
24.996094,-0.005083
25.022736,-0.005036
25.049377,-0.007133
25.076019,-0.007657
25.102661,-0.009114
25.129303,-0.010678
25.155945,-0.009236
25.182587,-0.008364
25.209229,-0.008133
25.235901,-0.00783
25.262543,-0.005646
25.289185,-0.003028
25.315826,-0.001575
25.342468,-0.000595
25.36911,0.000062
25.395752,-0.000922
25.422394,-0.0012
25.449036,-0.00389
25.475677,-0.006528
25.502319,-0.007975
25.528992,-0.00681
25.555634,-0.006553
25.582275,-0.006532
25.608917,-0.006695
25.635559,-0.006979
25.662201,-0.005093
25.688843,-0.003362
25.715485,-0.003444
25.742126,-0.004718
25.768768,-0.002776
25.795441,-0.003066
25.822083,-0.004055
25.848724,-0.006235
25.875366,-0.00765
25.902008,-0.007674
25.92865,-0.008988
25.955292,-0.008306
25.981934,-0.008027
26.008575,-0.007879
26.035217,-0.007856
26.061859,-0.008341
26.088531,-0.006922
26.115173,-0.005397
26.141815,-0.005226
26.168457,-0.004552
26.195099,-0.003856
26.221741,-0.001916
26.248383,-0.002882
26.275024,-0.00699
26.301666,-0.008948
26.328308,-0.009175
26.35498,-0.009734
26.381622,-0.010501
26.408264,-0.010619
26.434906,-0.008072
26.461548,-0.006571
26.48819,-0.007419
26.514832,-0.007343
26.541473,-0.006861
26.568115,-0.009073
26.594757,-0.011257
26.621399,-0.014054
26.648071,-0.015309
26.674713,-0.015649
26.701355,-0.015716
26.727997,-0.014562
26.754639,-0.013928
26.781281,-0.013739
26.807922,-0.012972
26.834564,-0.011191
26.861206,-0.007422
26.887848,-0.007214
26.91452,-0.005883
26.941162,-0.004988
26.967804,-0.006625
26.994446,-0.007753
27.021088,-0.008365
27.047729,-0.007796
27.074371,-0.007664
27.101013,-0.00692
27.127655,-0.004116
27.154297,-0.004843
27.180939,-0.006772
27.207611,-0.008497
27.234253,-0.010345
27.260895,-0.013081
27.287537,-0.01506
